,beta,tstat,r2,subject,model,model_ix,method,preproc,event_type
0,0.039448098441525636,0.16680563098199805,0.7868419042969438,001,camel,1,raw,corr,center
0,0.12896382836371723,0.18694726748395799,0.8780240311774987,001,camel_deriv,2,raw,corr,center
1,1.020596737802819,16.077929868756556,0.9349005022031643,002,linear,0,raw,corr,center
1,-0.031702137625241045,-0.5583114235109644,0.9360726723503376,002,camel,1,raw,corr,center
1,-0.1361613375588725,-0.8658980248678312,0.9670282354553075,002,camel_deriv,2,raw,corr,center
2,0.8129077446476408,7.032514350874337,0.7331604137516405,005,linear,0,raw,corr,center
2,-0.1815611026485705,-1.9193299417434073,0.7806850312104511,005,camel,1,raw,corr,center
2,-0.1941677546963395,-0.6808187481842525,0.8659339797379395,005,camel_deriv,2,raw,corr,center
3,0.2586885484556328,0.550942630877647,0.016583558114556807,006,linear,0,raw,corr,center
3,-1.0004974576356218,-2.8790813847343704,0.3389217824070321,006,camel,1,raw,corr,center
3,-2.445135070188263,-2.013416686748864,0.45703389436770503,006,camel_deriv,2,raw,corr,center
4,2.623003538158072,6.350532486872793,0.6914070379888677,008,linear,0,raw,corr,center
4,0.2207670622102451,0.5983252175540014,0.6977714915397223,008,camel,1,raw,corr,center
4,-0.8369409208916568,-0.7707980928690162,0.8239826761135232,008,camel_deriv,2,raw,corr,center
5,0.9126148865035943,4.174629176414018,0.4919205310183812,010,linear,0,raw,corr,center
5,-0.2497052348980821,-1.3295530403623637,0.5397760099492008,010,camel,1,raw,corr,center
5,-1.839933152932102,-3.591234660311598,0.7696716471842425,010,camel_deriv,2,raw,corr,center
6,1.2024925067032406,9.316249995031257,0.8282320051490815,011,linear,0,raw,corr,center
6,-0.09732797752909716,-0.8530297259453404,0.8352824930260122,011,camel,1,raw,corr,center
6,-0.2253733114981344,-0.5288499551234263,0.8454609251151546,011,camel_deriv,2,raw,corr,center
7,2.8814414526243195,17.284017790961613,0.9431705654870725,013,linear,0,raw,corr,center
7,0.08242933519155327,0.5526495249252811,0.9441735419813432,013,camel,1,raw,corr,center
7,0.8115677404367737,1.9245107723722266,0.9699883048434984,013,camel_deriv,2,raw,corr,center
8,-0.9596744683559543,-4.170617167402861,0.491439910312771,014,linear,0,raw,corr,center
8,-0.4532405109013879,-2.5717681604766653,0.6338813988642327,014,camel,1,raw,corr,center
8,-0.9819431059116951,-1.8885764591936502,0.7856926447370436,014,camel_deriv,2,raw,corr,center
9,0.9867476667243451,5.189174132839978,0.5993547669146398,015,linear,0,raw,corr,center
9,-0.17584594989834823,-1.0576166248887007,0.6240886901645022,015,camel,1,raw,corr,center
9,-0.17389955185439127,-0.3050884281917987,0.7028825009712382,015,camel_deriv,2,raw,corr,center
10,2.031293838992307,16.428741128950815,0.9374790587588017,022,linear,0,raw,corr,center
10,0.10873877984005664,1.0026717775768956,0.9409699916880173,022,camel,1,raw,corr,center
10,0.8281096603277363,2.43950691683721,0.961104559398845,022,camel_deriv,2,raw,corr,center
