,beta,tstat,r2,subject,model,model_ix,method,preproc,event_type
10,-0.2468324762842391,-1.1146725045858696,0.5536997889878988,022,camel,1,zscore,corr,"medium
annulus"
10,0.759972416045243,1.571069422536997,0.8567721207126333,022,camel_deriv,2,zscore,corr,"medium
annulus"
0,1.1726593454884837,2.7823446266257035,0.30073846427090956,001,linear,0,zscore,corr,"large
annulus"
0,0.9304692307292765,3.037890449907372,0.5467785066992097,001,camel,1,zscore,corr,"large
annulus"
0,3.1713135083897726,3.6295888154268128,0.751961116912272,001,camel_deriv,2,zscore,corr,"large
annulus"
1,-0.6462884526877332,-2.1860990990175924,0.20979951401472996,002,linear,0,zscore,corr,"large
annulus"
1,0.21447481169455723,0.819402887405851,0.23982297790892704,002,camel,1,zscore,corr,"large
annulus"
1,1.6592175947730603,2.2631074542691656,0.5988940981809284,002,camel_deriv,2,zscore,corr,"large
annulus"
2,-0.7569228289122579,-2.7010238019369517,0.28841181426750273,005,linear,0,zscore,corr,"large
annulus"
2,0.6631770191291008,3.3966946729592666,0.576102165654232,005,camel,1,zscore,corr,"large
annulus"
2,1.7167774400403595,4.034519803891432,0.8645855034448521,005,camel_deriv,2,zscore,corr,"large
annulus"
3,0.7603710600861286,1.8833314196466806,0.16461445064520186,006,linear,0,zscore,corr,"large
annulus"
3,0.10240165948649904,0.28163422846716774,0.16849405384923488,006,camel,1,zscore,corr,"large
annulus"
3,-0.835172653993484,-0.7571526347688676,0.4853482156140584,006,camel_deriv,2,zscore,corr,"large
annulus"
4,0.6988137174014813,1.465041717638454,0.10653778620244791,008,linear,0,zscore,corr,"large
annulus"
4,0.9171680688287379,2.4878503624793007,0.3450085810557596,008,camel,1,zscore,corr,"large
annulus"
4,3.096996340317607,2.5554910173710996,0.5239807446089406,008,camel_deriv,2,zscore,corr,"large
annulus"
5,0.8228842501726378,2.14530793461116,0.2036224959549755,010,linear,0,zscore,corr,"large
annulus"
5,-0.2048289497922573,-0.597758148948255,0.22001659120966477,010,camel,1,zscore,corr,"large
annulus"
5,-1.7534661878022868,-1.585419227691032,0.45353061726872146,010,camel_deriv,2,zscore,corr,"large
annulus"
6,-0.08226515897846087,-0.2375139306503319,0.0031242566099761726,011,linear,0,zscore,corr,"large
annulus"
6,0.8590419132359977,3.685080169388548,0.4458145948920479,011,camel,1,zscore,corr,"large
annulus"
6,2.2235470602383396,3.339745128316882,0.6959872176160605,011,camel_deriv,2,zscore,corr,"large
annulus"
7,0.6294014870624629,1.582212243123341,0.1220966338108308,013,linear,0,zscore,corr,"large
annulus"
7,0.887654991479377,3.088682997602556,0.43766472407703383,013,camel,1,zscore,corr,"large
annulus"
7,3.591079501398267,3.8763610099667165,0.6070287336391893,013,camel_deriv,2,zscore,corr,"large
annulus"
8,0.10570203755980367,0.290843894614426,0.004677472380323788,014,linear,0,zscore,corr,"large
annulus"
8,0.8218275355328309,3.153983661131129,0.3720971497346439,014,camel,1,zscore,corr,"large
annulus"
8,1.4816290679773985,1.6430569502788337,0.49425768978175555,014,camel_deriv,2,zscore,corr,"large
annulus"
9,0.8611732508981014,2.396279106205228,0.24185478969182128,015,linear,0,zscore,corr,"large
annulus"
9,-0.5693516018207168,-1.9395582517948489,0.3792245827970945,015,camel,1,zscore,corr,"large
annulus"
9,-1.9259923553534617,-2.4061269513066055,0.6895749924652146,015,camel_deriv,2,zscore,corr,"large
annulus"
10,1.5257072170360753,5.165323038681435,0.5971402516790614,022,linear,0,zscore,corr,"large
annulus"
10,0.5343629623882891,2.293291642881166,0.6923240791747656,022,camel,1,zscore,corr,"large
annulus"
10,2.2407234888470047,3.2667101557560962,0.8206917374731124,022,camel_deriv,2,zscore,corr,"large
annulus"
0,2.057015238902706,5.4508978623592155,0.6227386918352086,008,linear,0,norm,uncorr,center
0,-0.412073605293082,-1.2653694759060445,0.6552127786847144,008,camel,1,norm,uncorr,center
0,-2.059254609349046,-2.1377048862330863,0.7971072848269348,008,camel_deriv,2,norm,uncorr,center
1,1.7537773965994576,7.511080488439219,0.7581176070509035,010,linear,0,norm,uncorr,center
1,0.45618920002057584,2.542967540774336,0.8247728270724688,010,camel,1,norm,uncorr,center
1,0.05283336232786345,0.08579849171333302,0.8611468077856912,010,camel_deriv,2,norm,uncorr,center
2,1.8558805872025546,10.736295715034071,0.864933863867621,011,linear,0,norm,uncorr,center
2,0.1135607809315049,0.7393881324544193,0.8691420612793908,011,camel,1,norm,uncorr,center
2,-0.10798366384360303,-0.3917945264773058,0.9716604297497184,011,camel_deriv,2,norm,uncorr,center
3,3.387039494103545,24.277052465185776,0.9703642859703375,013,linear,0,norm,uncorr,center
3,-0.25182969585166104,-2.286530544635155,0.9773347980753608,013,camel,1,norm,uncorr,center
3,-0.9825131215755005,-2.5716489122583592,0.9816574937945468,013,camel_deriv,2,norm,uncorr,center
4,0.7355799225503025,2.9521602868925627,0.3262275382871187,014,linear,0,norm,uncorr,center
4,-0.16017189558508377,-0.7230016562686802,0.34632725966405287,014,camel,1,norm,uncorr,center
4,-0.6583555723937706,-1.0037456049494307,0.6146586343435294,014,camel_deriv,2,norm,uncorr,center
5,3.119136949520767,23.52813353806689,0.9685079633479732,022,linear,0,norm,uncorr,center
5,0.08934165995619181,0.7591234303397307,0.9695404842806236,022,camel,1,norm,uncorr,center
5,0.5414988577233191,1.3552357052903767,0.9763891970328953,022,camel_deriv,2,norm,uncorr,center
0,-3.7933856544410562,-6.199448439641219,0.6810386004408348,008,linear,0,norm,uncorr,"medium
annulus"
0,0.5196370993911004,0.9662803204750606,0.6976449644690885,008,camel,1,norm,uncorr,"medium
annulus"
0,-1.6440775566044916,-0.8754060202892614,0.751998501463821,008,camel_deriv,2,norm,uncorr,"medium
annulus"
1,-0.7289668164594485,-3.670015011461264,0.4280087014318904,010,linear,0,norm,uncorr,"medium
annulus"
1,0.27631789330602297,1.6615472350076697,0.507920631395752,010,camel,1,norm,uncorr,"medium
annulus"
1,1.174016001577909,2.924546614985396,0.807168026913326,010,camel_deriv,2,norm,uncorr,"medium
annulus"
2,-1.7639655427189849,-6.814187590508329,0.7206407059658708,011,linear,0,norm,uncorr,"medium
annulus"
2,0.5026907153294023,2.521702346570531,0.7966902902171941,011,camel,1,norm,uncorr,"medium
annulus"
2,1.238504980289802,3.2367417764307516,0.9496233792500064,011,camel_deriv,2,norm,uncorr,"medium
annulus"
3,-1.0100097744387295,-4.000458587870475,0.4706453575373668,013,linear,0,norm,uncorr,"medium
annulus"
3,-0.16891889470875837,-0.753463079614277,0.48775163881990824,013,camel,1,norm,uncorr,"medium
annulus"
3,-0.18739601159697533,-0.29930778209627135,0.7313181539869804,013,camel_deriv,2,norm,uncorr,"medium
annulus"
4,-0.13418722828728324,-0.9560266772933171,0.04832333908892794,014,linear,0,norm,uncorr,"medium
annulus"
4,0.2935746256301249,2.8012922036382926,0.34888122257814713,014,camel,1,norm,uncorr,"medium
annulus"
4,0.6882053062851186,2.003394404798423,0.5295118166394939,014,camel_deriv,2,norm,uncorr,"medium
annulus"
5,-1.1243709282017749,-9.156137214845865,0.8232432194843022,022,linear,0,norm,uncorr,"medium
annulus"
5,0.02065971596151711,0.18656821505436913,0.8236043915560936,022,camel,1,norm,uncorr,"medium
annulus"
5,0.263957737167464,1.1293419100470363,0.9471508656738323,022,camel_deriv,2,norm,uncorr,"medium
annulus"
0,0.8991380528684066,1.1505135934501565,0.06850048355157834,008,linear,0,norm,uncorr,"large
annulus"
0,1.5169130645638393,2.520117144362159,0.32184924519633773,008,camel,1,norm,uncorr,"large
annulus"
0,1.6205641948214837,1.083285477622317,0.7182924114994603,008,camel_deriv,2,norm,uncorr,"large
annulus"
1,0.9394448844546585,2.9809168539015527,0.3305032288925771,010,linear,0,norm,uncorr,"large
annulus"
1,0.6820668336866826,2.947056706821404,0.5568860564458333,010,camel,1,norm,uncorr,"large
annulus"
1,0.6818046070397928,0.9597645022087038,0.7192403966548468,010,camel_deriv,2,norm,uncorr,"large
annulus"
2,1.2690102793593891,4.207256919765286,0.495812594594941,011,linear,0,norm,uncorr,"large
annulus"
2,0.14222690897479873,0.526618300798169,0.5039055535689763,011,camel,1,norm,uncorr,"large
annulus"
2,-1.4028085357481108,-1.6409808607250904,0.6657371813830231,011,camel_deriv,2,norm,uncorr,"large
annulus"
3,0.527149936713116,1.8649564412533413,0.16193558070123837,013,linear,0,norm,uncorr,"large
annulus"
3,-0.2108221809640808,-0.8433691573943337,0.19559162652965978,013,camel,1,norm,uncorr,"large
annulus"
3,-2.464258551246045,-4.048369801447532,0.6792274582742919,013,camel_deriv,2,norm,uncorr,"large
annulus"
4,0.4208020328747932,2.475796653425736,0.25402729122750645,014,linear,0,norm,uncorr,"large
annulus"
4,0.302396134194147,2.243962106897702,0.42449169733425496,014,camel,1,norm,uncorr,"large
annulus"
4,-0.08643302506454131,-0.24754990404448032,0.7401817526291457,014,camel_deriv,2,norm,uncorr,"large
annulus"
5,1.2331966518386637,7.364776003489954,0.7508303081005754,022,linear,0,norm,uncorr,"large
annulus"
5,0.4403096322496473,4.116326774769409,0.8752101541240925,022,camel,1,norm,uncorr,"large
annulus"
5,0.9233879673120188,2.252718297514922,0.8767625230373494,022,camel_deriv,2,norm,uncorr,"large
annulus"
0,3.3991908551186,10.968223458803479,0.8698499685352786,001,linear,0,norm,corr,center
0,-0.11859709205419922,-0.4261957671044691,0.8712259033348861,001,camel,1,norm,corr,center
0,-0.33148280585475975,-0.3965630423002399,0.921854887913389,001,camel_deriv,2,norm,corr,center
1,2.284705346750704,20.27839890834375,0.9580628251869475,002,linear,0,norm,corr,center
1,-0.18974732812096584,-2.092165942980232,0.9666498249805983,002,camel,1,norm,corr,center
1,-0.5966079717773489,-1.787153101822214,0.9696122036685629,002,camel_deriv,2,norm,corr,center
2,2.077016353595526,11.935149175685881,0.887813970725089,005,linear,0,norm,corr,center
2,-0.33960629314429536,-2.5388563014165255,0.9186565097460268,005,camel,1,norm,corr,center
2,-0.6546143889148159,-1.327569283598504,0.9256621707890593,005,camel_deriv,2,norm,corr,center
3,1.522797157403518,2.968993778467872,0.3287320164689247,006,linear,0,norm,corr,center
3,-1.1585426481313468,-3.1484890207232015,0.5759832467529218,006,camel,1,norm,corr,center
3,-2.905581704406739,-2.279654323646982,0.6578653132334545,006,camel_deriv,2,norm,corr,center
4,3.887112147105957,8.993082348553635,0.817952935607807,008,linear,0,norm,corr,center
4,0.06272187171452037,0.1608782467288993,0.8182296735549759,008,camel,1,norm,corr,center
4,-1.297387555110131,-1.0803373888248056,0.8840139269172118,008,camel_deriv,2,norm,corr,center
5,2.1767234954514794,7.858915741552877,0.7743302025427831,010,linear,0,norm,corr,center
5,-0.40775042539380646,-1.7756866543109124,0.8096375454777316,010,camel,1,norm,corr,center
5,-2.3003797871505767,-3.495321618595745,0.8948388087343248,010,camel_deriv,2,norm,corr,center
6,2.4666011156511254,13.511334296303218,0.9102495754972691,011,linear,0,norm,corr,center
6,-0.25537316802482235,-1.6722890715815326,0.922928128406433,011,camel,1,norm,corr,center
6,-0.6858199457166086,-1.2039323266950979,0.9278743503690832,011,camel_deriv,2,norm,corr,center
7,4.145550061572204,21.73460840409519,0.9632947603902454,013,linear,0,norm,corr,center
7,-0.07561585530417192,-0.4416994572368745,0.9637112240669731,013,camel,1,norm,corr,center
7,0.35112110621829684,0.7113235802546187,0.9797098452568308,013,camel_deriv,2,norm,corr,center
8,0.30443414059193025,1.0321566763556875,0.05587873023974488,014,linear,0,norm,corr,center
8,-0.6112857013971124,-2.764167439563533,0.3486340635248071,014,camel,1,norm,corr,center
8,-1.4423897401301713,-2.0827988756856755,0.5704225969298247,014,camel_deriv,2,norm,corr,center
9,2.25085627567223,9.101803708663192,0.8215044156739396,015,linear,0,norm,corr,center
9,-0.3338911403940725,-1.6050588256715894,0.8449942895344982,015,camel,1,norm,corr,center
9,-0.6343461860728666,-0.8501297334985767,0.865875642311678,015,camel_deriv,2,norm,corr,center
10,3.2954024479401927,22.721565651931638,0.9663091408714728,022,linear,0,norm,corr,center
10,-0.04930641065566865,-0.37819782613945824,0.9665902419202668,022,camel,1,norm,corr,center
10,0.36766302610925944,0.79490771178484,0.971720176765555,022,camel_deriv,2,norm,corr,center
0,0.21472283416240986,0.6713397781342074,0.02442710404482973,001,linear,0,norm,corr,"medium
annulus"
0,-0.4353073533900911,-1.619936877402566,0.15488310119924042,001,camel,1,norm,corr,"medium
annulus"
0,-1.0622010094047798,-2.005823785676007,0.7792735316389608,001,camel_deriv,2,norm,corr,"medium
annulus"
1,-0.41223305097462043,-2.3071745088350215,0.22823143852974015,002,linear,0,norm,corr,"medium
annulus"
1,-0.2248287842771818,-1.4812002747820843,0.31644801423603064,002,camel,1,norm,corr,"medium
annulus"
1,0.3638305640583486,0.7869377810956287,0.5735005793766218,002,camel_deriv,2,norm,corr,"medium
annulus"
2,-0.113018992484373,-0.6263277987053658,0.021328860399564276,005,linear,0,norm,corr,"medium
annulus"
2,-0.09070546256386959,-0.5620147937390448,0.03918091452307737,005,camel,1,norm,corr,"medium
annulus"
2,0.5361665627113185,0.9653594154932907,0.2347608221458355,005,camel_deriv,2,norm,corr,"medium
annulus"
3,-0.06073982130510696,-0.12716648432636102,0.0008975999646883004,006,linear,0,norm,corr,"medium
annulus"
3,0.10209700036852637,0.23718981523545307,0.0041930770291240815,006,camel,1,norm,corr,"medium
annulus"
3,0.699729579984359,0.737066667843475,0.674242998315986,006,camel_deriv,2,norm,corr,"medium
annulus"
4,-1.5143168213430585,-3.3002492263805987,0.3769825142434038,008,linear,0,norm,corr,"medium
annulus"
4,0.7263342476694006,1.9375911520232834,0.48968079193827674,008,camel,1,norm,corr,"medium
annulus"
4,1.7917091745122327,1.6687093849425252,0.7184390901201091,008,camel_deriv,2,norm,corr,"medium
annulus"
5,0.20103775113040462,1.0843441938991107,0.061316982233986184,010,linear,0,norm,corr,"medium
annulus"
5,0.30578684441258586,2.038214366671179,0.24565701198721368,010,camel,1,norm,corr,"medium
annulus"
5,-0.24786843878343012,-0.5520680146619391,0.5456465220787273,010,camel_deriv,2,norm,corr,"medium
annulus"
6,-1.091975932279114,-6.2861131846882765,0.6870393554588383,011,linear,0,norm,corr,"medium
annulus"
6,-0.017298244469592217,-0.11035528364760684,0.6872633905585215,011,camel,1,norm,corr,"medium
annulus"
6,0.5410274609987062,1.207641219857549,0.8281975815467857,011,camel_deriv,2,norm,corr,"medium
annulus"
7,-0.39303698992499964,-1.5011615889303942,0.1112641104432337,013,linear,0,norm,corr,"medium
annulus"
7,0.20527652874670918,0.8884977160544263,0.15070288039161572,013,camel,1,norm,corr,"medium
annulus"
7,-0.15835666473411886,-0.27517165106802255,0.6456237636430006,013,camel_deriv,2,norm,corr,"medium
annulus"
8,0.7276777771813142,3.602827386131864,0.4189868357344524,014,linear,0,norm,corr,"medium
annulus"
8,0.27139760130650703,1.5962616957989098,0.49472079903733446,014,camel,1,norm,corr,"medium
annulus"
8,0.9170861211826713,1.4244814496852651,0.5127634847331508,014,camel_deriv,2,norm,corr,"medium
annulus"
9,0.1273158703928508,0.6730476878819966,0.024548493867367682,015,linear,0,norm,corr,"medium
annulus"
9,0.15433227309170955,0.9263609103474122,0.07142225382810874,015,camel,1,norm,corr,"medium
annulus"
9,0.7562117612565418,2.176713238835691,0.7284466209050205,015,camel_deriv,2,norm,corr,"medium
annulus"
10,-0.5390929733175607,-5.9839922118689275,0.6654782645213475,022,linear,0,norm,corr,"medium
annulus"
10,-0.05817606983188775,-0.7263997102133545,0.6755487825492172,022,camel,1,norm,corr,"medium
annulus"
10,0.32156691948809657,2.1542712412537424,0.9242016897000118,022,camel_deriv,2,norm,corr,"medium
annulus"
0,1.4807733532428176,2.6637583938727043,0.28274304253260285,001,linear,0,norm,corr,"large
annulus"
0,1.3410294900848116,3.509472948532594,0.5840768948316248,001,camel,1,norm,corr,"large
annulus"
0,4.097428980634054,3.763340590753883,0.7729081258418732,001,camel_deriv,2,norm,corr,"large
annulus"
1,-0.30078290870002583,-1.2386509255335034,0.0785418244885886,002,linear,0,norm,corr,"large
annulus"
1,0.2070658290666249,0.9704635303339622,0.1269109313488923,002,camel,1,norm,corr,"large
annulus"
1,1.328375333200822,2.305498026447051,0.5718284571849162,002,camel_deriv,2,norm,corr,"large
annulus"
2,0.045846719874088004,0.30849126377132857,0.0052592419047834404,005,linear,0,norm,corr,"large
annulus"
2,0.3309713806198451,3.079202410066547,0.3614183153793302,005,camel,1,norm,corr,"large
annulus"
2,0.853198745227146,2.5761354498070275,0.5922624910235985,005,camel_deriv,2,norm,corr,"large
annulus"
3,0.7964213850143892,1.6761033333324498,0.1350030689210282,006,linear,0,norm,corr,"large
annulus"
3,0.19763706015082796,0.46368368565292295,0.14580623634531042,006,camel,1,norm,corr,"large
annulus"
3,-0.9529104416807246,-0.6953841685260762,0.4062229370117514,006,camel_deriv,2,norm,corr,"large
annulus"
4,0.9111201378415754,1.1575212330407723,0.0692794944370666,008,linear,0,norm,corr,"large
annulus"
4,1.65420491522277,2.8208740904160536,0.36602800889983345,008,camel,1,norm,corr,"large
annulus"
4,4.893066615100784,2.450147160513941,0.5055272484865202,008,camel_deriv,2,norm,corr,"large
annulus"
5,0.6780516294730826,2.1833030189075022,0.20937547414271185,010,linear,0,norm,corr,"large
annulus"
5,-0.028479029869930006,-0.10161896661331282,0.20985543650619598,010,camel,1,norm,corr,"large
annulus"
5,-0.9743259242368583,-1.0333940008071612,0.3985660320578638,010,camel_deriv,2,norm,corr,"large
annulus"
6,0.13747433905928308,0.5176074897761477,0.014666012876113577,011,linear,0,norm,corr,"large
annulus"
6,0.6470919102209309,3.5703586072011935,0.4369039423114056,011,camel,1,norm,corr,"large
annulus"
6,1.3862325943047957,2.3461526671344624,0.5975244668409615,011,camel_deriv,2,norm,corr,"large
annulus"
7,0.49023151091977385,1.6935599923839437,0.13744131959293926,013,linear,0,norm,corr,"large
annulus"
7,0.6857364614024601,3.402616471093829,0.4868919875804598,013,camel,1,norm,corr,"large
annulus"
7,2.53722628301962,3.820372739234748,0.625257606312176,013,camel_deriv,2,norm,corr,"large
annulus"
8,0.2448546207288611,1.111074061563411,0.06418084672805235,014,linear,0,norm,corr,"large
annulus"
8,0.4628658582857488,2.8184654108394103,0.3622078738979738,014,camel,1,norm,corr,"large
annulus"
8,0.8562592939793792,1.4560933141510728,0.4500388088321674,014,camel_deriv,2,norm,corr,"large
annulus"
9,0.8447146996750127,2.6168863020382083,0.27559835939330846,015,linear,0,norm,corr,"large
annulus"
9,-0.5495361563650709,-2.120863619517331,0.42716568553295353,015,camel,1,norm,corr,"large
annulus"
9,-1.595243163372254,-2.136856773275258,0.6802058540575902,015,camel_deriv,2,norm,corr,"large
annulus"
10,1.093579263740639,4.921468644480891,0.5736703913521393,022,linear,0,norm,corr,"large
annulus"
10,0.452463705211854,2.694857545072064,0.7012807468495138,022,camel,1,norm,corr,"large
annulus"
10,1.6333257689587424,3.06685652263465,0.797869597395326,022,camel_deriv,2,norm,corr,"large
annulus"
