event_type,method,preproc,model,model_ix,0,1,2,3,4,5,6,7,8,9,10
center,zscore,corr,linear,0,-0.4879586725246889,-0.5708446432081454,-0.4697113631066545,0.43219041658973845,-0.3946157895449025,-0.2536170726935859,-0.5042816030199505,-0.5818810197889864,1.4126795307094981,-0.3803853452730171,-0.5857725815289443
center,zscore,corr,linear,0,3.744531380797132,3.8088115033373153,3.5512768678556275,1.4804528856516244,3.3777966321949866,3.0873907360013266,3.7046210989902097,3.9039061996392728,-0.4217382755142283,3.495181021366754,3.8941920797913108
center,zscore,corr,camel,1,-0.4480304571825543,-0.4992971042667001,-0.2952999427910177,0.7194868026827691,-0.403368746074215,-0.1040768639587078,-0.4044458354570836,-0.5529629115972755,1.670020260452616,-0.2149879039577274,-0.5608454144920606
center,zscore,corr,camel,1,3.7445313807971314,3.8088115033373153,3.551276867855626,1.4804528856516241,3.377796632194986,3.0873907360013253,3.704621098990209,3.903906199639272,-0.4217382755142284,3.4951810213667542,3.8941920797913085
center,zscore,corr,camel,1,-0.16196771827557677,-0.2902306434505353,-0.7074951772241378,-1.1654099670015738,0.03550612981497614,-0.6066057846989032,-0.4049810725546028,-0.11730551842909942,-1.04389566272154,-0.6709302168631508,-0.10111637430931353
center,zscore,corr,camel_deriv,2,-0.3281881756172974,-0.5689753679675327,-0.4748366124959962,0.8877376542897484,-0.39663862770528935,-0.1490955095127645,-0.4490525244955506,-0.45756553317713644,1.5945519682778733,-0.3767226870397557,-0.5683452994716813
center,zscore,corr,camel_deriv,2,3.504772722187918,3.9481813925330678,3.910363251445318,1.1439565803922138,3.3643864419665257,3.1773763023999413,3.793801284376848,3.713066840083724,-0.27086964789365386,3.818603749705639,3.9091653273524174
center,zscore,corr,camel_deriv,2,0.14858645838636275,-0.4766350296587727,-1.2683622632702063,-0.5818099160034563,0.17976965771935205,-0.4951990805553689,-0.5552164963949858,0.08229016316869897,-1.218966636092801,-1.1860271373512685,-0.22081044089722002
center,zscore,corr,camel_deriv,2,-0.4724206730222671,-0.10384451080394974,-0.14664591084640566,-1.7490173921513594,-0.10882576668112831,-0.7179418276596887,-0.2547003041433632,-0.3168402682083249,-0.8687318535878912,-0.1557693111703573,0.01861392455596156
center,zscore,corr,camel_deriv,2,1.4068402016180015,-0.3166774643709384,-0.09282582550052705,-0.46903924168035555,-1.3866935688745556,-0.3431976436610906,0.6091524744064865,1.1167360839927771,0.8431630444329615,0.8966724811145788,0.8843170301700317
center,zscore,corr,camel_deriv,2,-0.9529771587261721,0.10887338169861602,0.3226095334151484,-0.297123396376361,0.2072042472683582,-1.9905433329883035,-0.44797932596415413,-0.30378597300466537,-1.32114537832854,-0.5950340967252391,0.03962290508623581
