subject,event_type,vox,magnitude,magnitude_ix,fwhm,fwhm_obj,time_to_peak,half_rise_time,half_max,rise_slope,onset_time,positive_area,undershoot,1st_deriv_magnitude,1st_deriv_time_to_peak,2nd_deriv_magnitude,2nd_deriv_time_to_peak
014,suppr_1,17,-0.7507517331844421,1239,4.26738484258495,<linescanning.fitting.FWHM object at 0x7fae3d2c9dc0>,4.5047500000000005,2.5532690113006646,-0.37537586659222105,-0.30503045301799375,1.323675947202694,-3.193744947810809,1.1170290975820212,-0.32036746622334533,2.5360000000000005,-0.22715043815341396,1.37575
014,suppr_1,18,-0.7507517331844421,1239,4.26738484258495,<linescanning.fitting.FWHM object at 0x7fae138e2970>,4.5047500000000005,2.5532690113006646,-0.37537586659222105,-0.30503045301799375,1.323675947202694,-3.193744947810809,1.1170290975820212,-0.32036746622334533,2.5360000000000005,-0.22715043815341396,1.37575
014,suppr_1,19,-0.6655371393293754,1184,4.047676926929528,<linescanning.fitting.FWHM object at 0x7fae138ecee0>,4.216,2.38094937321894,-0.3327685696646877,-0.28863247039544593,1.2293415143045252,-2.68613585015636,0.9756438665534205,-0.30312283409798724,2.3575,-0.23054160168947213,1.2760000000000002
014,suppr_2,0,0.25772121688343186,1564,4.2473123906272185,<linescanning.fitting.FWHM object at 0x7fae3d71a3a0>,6.211,4.315376168518672,0.12886060844171593,0.11773161533870918,3.236481082413982,1.0754118137612227,0.362775128920037,-0.03945270926133171,1.4860000000000002,-0.047420957839711786,0.88225
014,suppr_2,1,0.32182909551760674,1455,4.407611983487783,<linescanning.fitting.FWHM object at 0x7fae23599bb0>,5.638750000000001,3.607654787563567,0.16091454775880337,0.12608281116141273,2.3342205542000145,1.4090761881346092,0.4832169233107061,0.13208575822568136,3.5650000000000004,-0.011840022136432204,0.6407500000000002
014,suppr_2,2,0.32182909551760674,1455,4.407611983487783,<linescanning.fitting.FWHM object at 0x7fae235996a0>,5.638750000000001,3.607654787563567,0.16091454775880337,0.12608281116141273,2.3342205542000145,1.4090761881346092,0.4832169233107061,0.13208575822568136,3.5650000000000004,-0.011840022136432204,0.6407500000000002
014,suppr_2,3,0.25772121688343186,1564,4.2473123906272185,<linescanning.fitting.FWHM object at 0x7fae13b7f4c0>,6.211,4.315376168518672,0.12886060844171593,0.11773161533870918,3.236481082413982,1.0754118137612227,0.362775128920037,-0.03945270926133171,1.4860000000000002,-0.047420957839711786,0.88225
014,suppr_2,4,0.21949573215913243,1682,4.118910742689076,<linescanning.fitting.FWHM object at 0x7fae3d910ca0>,6.830500000000001,5.064966506921076,0.10974786607956621,0.11598282047450392,4.141546515669886,0.8852294862204941,0.26356988786052993,-0.0871398146331579,1.7222500000000003,-0.09055360324586736,0.9872500000000004
014,suppr_2,5,-0.2225505037790857,964,2.486017073288216,<linescanning.fitting.FWHM object at 0x7fae3d2c9850>,3.061,1.817235296842738,-0.11127525188954285,-0.13374637000492162,0.9824524291679769,-0.5462363942942228,0.8229364107602511,-0.14057841754194378,1.8482500000000002,-0.13613614119543183,1.0397500000000002
014,suppr_2,6,-0.2256328937246473,980,2.611086725536307,<linescanning.fitting.FWHM object at 0x7fae3d2c9fa0>,3.1450000000000005,1.8577424838211425,-0.11281644686232364,-0.13182558678060702,0.9994636912574455,-0.5821224714549674,0.6998312907298248,-0.13849366076383518,1.8850000000000002,-0.13159665010109123,1.0555000000000003
